Node_ID,Node_Type,Link_Type,E_Consumed_J,E_Harvested_J,Net_Energy_J,Life_Days,Can_Listen_AP,AP_Can_Listen
178,PV,RF,3.0599134182983994,33.594544896852184,30.534631478553784,inf,True,True
179,PV,RF,3.0601300444270505,33.67821651904791,30.618086474620856,inf,True,True
180,PV,RF,3.0551990252460577,31.79848754858306,28.743288523337004,inf,True,True
181,PV,RF,3.062861610017248,34.74197884857991,31.679117238562664,inf,True,True
182,PV,RF,3.0700943474456874,37.63751754154739,34.5674231941017,inf,True,True
183,PV,RF,3.076729839670363,40.39695677745825,37.320226937787886,inf,True,True
184,PV,RF,3.082755263332194,42.99055719816209,39.90780193482989,inf,True,True
185,PV,RF,3.0881789914382036,45.39868421123512,42.310505219796916,inf,True,True
186,PV,RF,3.0930067315444285,47.60234012636395,44.50933339481952,inf,True,True
187,PV,RF,3.0972574288647956,49.590648900102096,46.4933914712373,inf,True,True
188,PV,RF,3.1009570402946225,51.35862192190435,48.25766488160973,inf,True,True
189,PV,RF,3.104123699981378,52.90013798041083,49.79601428042945,inf,True,True
190,PV,RF,3.1067835387227456,54.215409675594465,51.10862613687172,inf,True,True
191,PV,RF,3.1089730478406317,55.31234435433249,52.20337130649186,inf,True,True
192,PV,RF,3.1107188594904356,56.19631674144609,53.08559788195566,inf,True,True
193,PV,RF,3.1120479300126087,56.87488186365921,53.762833933646604,inf,True,True
194,PV,RF,3.1129991098832335,57.36351053638434,54.250511426501106,inf,True,True
195,PV,RF,3.113602604719,57.67483479761113,54.561232192892135,inf,True,True
196,PV,RF,3.1138820313886457,57.81932651158536,54.70544448019671,inf,True,True
197,PV,RF,3.1138727220868656,57.81450915162286,54.70063642953599,inf,True,True
198,PV,RF,3.113605316908108,57.676236224175206,54.5626309072671,inf,True,True
199,PV,RF,3.1130989657278487,57.41495301935037,54.30185405362252,inf,True,True
200,PV,RF,3.112382350707617,57.04639042110353,53.93400807039591,inf,True,True
201,PV,RF,3.1114847046815592,56.58672924869923,53.47524454401767,inf,True,True
202,PV,RF,3.1104213815834916,56.0451030394933,52.934681657909806,inf,True,True
203,PV,RF,3.1092133442640857,55.43352231425371,52.32430896998962,inf,True,True
204,PV,RF,3.1078871915765127,54.76671662702407,51.65882943544756,inf,True,True
205,PV,RF,3.10645581932952,54.05233470884994,50.94587888952042,inf,True,True
206,PV,RF,3.104932806197136,53.298242534651045,50.19330972845391,inf,True,True
207,PV,RF,3.103341160565895,52.516752104155486,49.41341094358959,inf,True,True
208,PV,RF,3.101692610595161,51.71435390757738,48.612661296982225,inf,True,True
209,PV,RF,3.099994572954175,50.89528234237427,47.7952877694201,inf,True,True
210,PV,RF,3.0982657025254174,50.068997188341285,46.97073148581587,inf,True,True
211,PV,RF,3.0965174390515022,49.24122967508803,46.144712236036526,inf,True,True
212,PV,RF,3.094752726445773,48.41354132003198,45.318788593586206,inf,True,True
213,PV,RF,3.0929853544087518,47.59245538471054,44.49947003030179,inf,True,True
214,PV,RF,3.09122681902111,46.78320109385195,43.69197427483084,inf,True,True
215,PV,RF,3.0894773926981998,45.98571776797322,42.89624037527502,inf,True,True
216,PV,RF,3.0877458319594853,45.20375761288327,42.116011780923785,inf,True,True
217,PV,RF,3.0860435265935893,44.44210423327852,41.35606070668493,inf,True,True
218,PV,RF,3.08436970837618,43.699999144882916,40.61562943650674,inf,True,True
219,PV,RF,3.0827283325387658,42.978775401836266,39.8960470692975,inf,True,True
220,PV,RF,3.0811301290620956,42.28265624471342,39.201526115651326,inf,True,True
221,PV,RF,3.0795745573600857,41.6108753658365,38.531300808476416,inf,True,True
222,PV,RF,3.078061390627088,40.96282900687432,37.88476761624723,inf,True,True
223,PV,RF,3.0765999209811525,40.341964171113446,37.26536425013229,inf,True,True
224,PV,RF,3.0751906393024644,39.74793058386257,36.67273994456011,inf,True,True
225,PV,RF,3.073830066537577,39.17874288767467,36.1049128211371,inf,True,True
226,PV,RF,3.072525236057313,38.63683262245768,35.56430738640037,inf,True,True
227,PV,RF,3.0712779803430017,38.12243592292517,35.051157942582165,inf,True,True
228,PV,RF,3.070082664664172,37.63274692938727,34.5626642647231,inf,True,True
229,PV,RF,3.068943330960337,37.16897137395431,34.10002804299397,inf,True,True
230,PV,RF,3.0678629091593717,36.73184977316124,33.66398686400186,inf,True,True
231,PV,RF,3.0668345034898272,36.318179835657666,33.25134533216784,inf,True,True
232,PV,RF,3.065858223890248,35.92764017863375,32.861781954743506,inf,True,True
233,PV,RF,3.0649365123153673,35.56085504118457,32.4959185288692,inf,True,True
234,PV,RF,3.0640601236402363,35.21383399192877,32.149773868288534,inf,True,True
235,PV,RF,3.0632214038827454,34.88330085300949,31.82007944912674,inf,True,True
236,PV,RF,3.0624160308941892,34.56735193673623,31.50493590584204,inf,True,True
237,PV,RF,3.0616316977024223,34.26101108805228,31.199379390349854,inf,True,True
238,PV,RF,3.0608978175020343,33.9755823810149,30.914684563512868,inf,True,True
239,PV,RF,3.0605338186534574,33.83444367135245,30.773909852698996,inf,True,True
240,PV,RF,3.057654105632782,32.727890492720604,29.670236387087822,inf,True,True
241,PV,RF,3.0659949132628572,35.982193312166096,32.91619839890324,inf,True,True
242,PV,RF,3.073575330938019,39.072644718648064,35.999069387710044,inf,True,True
243,PV,RF,3.0804645134049675,41.99451283096175,38.914048317556784,inf,True,True
