Node_ID,Node_Type,Link_Type,E_Consumed_J,E_Harvested_J,Net_Energy_J,Life_Days,Can_Listen_AP,AP_Can_Listen,PDR_AP,PDR_MAC,True_Col_Rate,Phy_Err_Up,Phy_Err_Dw,Blockage_Drop,Avg_Retries
27,PD,IR,23.33066717156649,0.0,-23.33066717156649,277.74602210678717,True,True,0.9257142857142859,0.9257142857142859,0.010696963362517835,0.0,0.0,0.07414965986394559,0.0069387755102040816
28,PD,IR,78.48208616115174,0.0,-78.48208616115174,82.56661254766146,True,False,0.0,0.0,0.0,1.0,0.0,0.20054421768707484,2.6363265306122448
29,PD,IR,78.90395128287633,0.0,-78.90395128287633,82.12516476860246,True,False,0.0,0.0,0.0,0.9999654576856649,0.0,0.18476190476190474,2.6394557823129254
30,PD,IR,23.02866161312209,0.0,-23.02866161312209,281.3884761894975,True,True,0.9107482993197281,0.9107482993197281,0.006123869076250028,0.0,0.0,0.08925170068027212,0.00435374149659864
31,PD,IR,22.852131596469544,0.0,-22.852131596469544,283.5621689226183,True,True,0.9029931972789117,0.9029931972789117,0.009345804389867861,0.0,0.0,0.09700680272108843,0.0051700680272108845
32,PD,IR,23.05993123122964,0.0,-23.05993123122964,281.0069091283436,True,True,0.9114285714285715,0.9114285714285715,0.01124362876507969,0.0,0.0,0.08857142857142856,0.006530612244897959
33,PD,IR,23.825172976703996,0.0,-23.825172976703996,271.98123624689214,True,True,0.9499319727891157,0.9499319727891157,0.007391989216734434,0.0,0.0,0.049931972789115646,0.006394557823129252
34,PD,IR,23.83271598392816,0.0,-23.83271598392816,271.8951547263793,True,True,0.9512925170068028,0.9512925170068028,0.008054548701223527,0.0,0.0,0.04870748299319728,0.005850340136054421
35,PD,IR,23.500557416897042,0.0,-23.500557416897042,275.7381403787827,True,True,0.936326530612245,0.936326530612245,0.006518532296664122,0.0,0.0,0.0635374149659864,0.0054421768707483
36,PD,IR,23.3161583225472,0.0,-23.3161583225472,277.9188539706264,True,True,0.9246258503401361,0.9246258503401361,0.005292415458741451,0.0,0.0,0.07537414965986396,0.0035374149659863946
37,PD,IR,79.86397133719015,0.0,-79.86397133719015,81.13796360866,True,False,0.0,0.0,0.0,0.9999346405228758,0.0,0.18163265306122447,2.6812244897959188
38,PD,IR,80.30028003932395,0.0,-80.30028003932395,80.6971033827861,True,False,0.0,0.0,0.0,0.9999643493761141,0.0,0.17170068027210883,2.6933333333333334
39,PD,IR,79.66665483021609,0.0,-79.66665483021609,81.33892421879695,True,False,0.0,0.0,0.0,0.9999654576856649,0.0,0.18503401360544217,2.675102040816327
40,PD,IR,23.178299872056687,0.0,-23.178299872056687,279.57184244613916,True,True,0.9131972789115647,0.9131972789115647,0.013026368580469688,0.0,0.0,0.08666666666666667,0.008299319727891155
41,PD,IR,23.42517392842737,0.0,-23.42517392842737,276.6254807669225,True,True,0.9300680272108843,0.9300680272108843,0.008814470571230117,0.0,0.0,0.06993197278911566,0.004897959183673469
42,PD,IR,23.329381714938517,0.0,-23.329381714938517,277.7613260042232,True,True,0.9281632653061225,0.9281632653061225,0.006153828857840053,0.0,0.0,0.07183673469387757,0.004217687074829932
43,PD,IR,23.386087156116634,0.0,-23.386087156116634,277.0878239160738,True,True,0.9274829931972787,0.9274829931972787,0.0075781953237737875,0.0,0.0,0.07251700680272108,0.0055782312925170075
44,PD,IR,81.85375805178592,0.0,-81.85375805178592,79.16557717362639,True,False,0.0,0.0,0.0,0.9999659863945578,0.0,0.14244897959183672,2.7364625850340136
45,PD,IR,80.11760252296436,0.0,-80.11760252296436,80.88110222897168,True,False,0.0,0.0,0.0,0.9998801620289407,0.0,0.17863945578231294,2.6876190476190476
46,PD,IR,77.9955458603387,0.0,-77.9955458603387,83.08166740192182,True,False,0.0,0.0,0.0,1.0,0.0,0.2097959183673469,2.6204081632653065
47,PD,IR,79.5449986930497,0.0,-79.5449986930497,81.46332398602696,True,False,0.0,0.0,0.0,1.0,0.0,0.17605442176870748,2.6627210884353745
